"Ticker","Nome","Negócios","Última (R$)","Variação"
"NORD3","Nordon","100","6,05","-0,82%"
"PLAS3","Plascar","100","5,50","+0,00%"
"TEKA4","Teka","400","36,50","+4,89%"
"BNBR3","Banco do Nordeste","200","96,00","+1,05%"
"EMAE3","EMAE","100","70,00","+0,00%"
"EUCA3","Eucatex","100","15,30","+0,00%"
"RPAD6","Alfa Holdings","4.900","5,02","-12,24%"
"MRSA6B","MRS Logística","200","29,00","+3,57%"
"PATI4","Panatlântica","100","33,00","+3,12%"
"BRSR5","Banrisul","100","14,00","+0,00%"
"BALM3","Baumer","100","14,00","+0,00%"
"CPLE5","Copel","100","10,38","-0,10%"
"DASA11","DASA11","500","0,70","-22,22%"
"MWET3","Wetzel","200","12,50","+0,00%"
"ENMT4","Energisa MT","100","84,80","-0,12%"
"BAUH4","Excelsior","100","78,20","+0,03%"
"PEAB3","Participações Aliança da Bahia","500","43,25","+0,35%"
"CEDO3","Cedro Têxtil","200","26,71","+0,00%"
"BDLL4","Bardella","100","8,40","+0,00%"
"IGTI4","Jereissati Participações","100","7,74","+0,00%"
"IGTI4","Iguatemi","100","7,74","+0,00%"
"PINE11","Banco Pine","100","5,80","+0,00%"
"MAPT3","Cemepe","100","3,80","+0,00%"
"USIM6","Usiminas","200","11,00","-19,94%"
"CEED3","CEEE D","100","13,98","-0,07%"
"TKNO3","Tekno","500","50,09","+0,00%"
"CTKA3","Karsten","300","21,45","-0,23%"
